iter	Passed	Remaining
0	2	220
1	3	193
2	5	181
3	7	173
4	8	170
5	10	166
6	12	165
7	14	170
8	17	174
9	19	172
10	21	171
11	22	168
12	24	164
13	26	160
14	28	161
15	31	162
16	33	164
17	35	162
18	37	160
19	39	158
20	41	155
21	43	155
22	46	154
23	48	153
24	50	151
25	52	148
26	53	144
27	55	142
28	56	139
29	58	137
30	60	134
31	62	132
32	63	129
33	65	126
34	67	124
35	68	122
36	70	119
37	72	117
38	74	116
39	75	113
40	77	111
41	78	107
42	79	105
43	80	102
44	82	100
45	83	98
46	85	95
47	86	94
48	88	92
49	89	89
50	91	87
51	92	85
52	94	83
53	95	81
54	96	79
55	98	77
56	99	75
57	101	73
58	102	71
59	104	69
60	105	67
61	107	65
62	108	63
63	109	61
64	111	59
65	112	57
66	113	55
67	114	54
68	115	52
69	117	50
70	119	48
71	120	46
72	122	45
73	123	43
74	124	41
75	125	39
76	127	38
77	128	36
78	129	34
79	130	32
80	132	30
81	133	29
82	135	27
83	136	26
84	137	24
85	139	22
86	140	21
87	142	19
88	143	17
89	145	16
90	147	14
91	148	12
92	150	11
93	151	9
94	152	8
95	154	6
96	155	4
97	157	3
98	158	1
99	159	0
